date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2020-03-31,-0.08318938174138127,375,188,187,1.0,1.647455790355155,0.001647455790355155,0.0,0.001647455790355155,-0.08483683753173642
2020-04-30,-0.03133428789900576,391,196,195,1.0,1.5287022501308214,0.0015287022501308215,0.0,0.0015287022501308215,-0.03286299014913658
2020-05-29,-0.01597690391350693,397,199,198,1.0,1.732373991167961,0.001732373991167961,0.0,0.001732373991167961,-0.017709277904674893
2020-06-30,0.010570724116915424,401,201,200,1.0,1.6950995024875621,0.0016950995024875622,0.0,0.0016950995024875622,0.008875624614427861
2020-07-31,-0.009403393759449838,405,203,202,1.0,1.4950738916256157,0.0014950738916256158,0.0,0.0014950738916256158,-0.010898467651075452
2020-08-31,-0.013993021094226349,413,207,206,1.0,1.6798696121195067,0.0016798696121195066,0.0,0.0016798696121195066,-0.015672890706345855
2020-09-30,0.010006942028985508,414,207,207,1.0,1.5507246376811592,0.0015507246376811592,0.0,0.0015507246376811592,0.008456217391304349
2020-10-30,0.006153445827199109,417,209,208,1.0,1.6784136915715862,0.0016784136915715861,0.0,0.0016784136915715861,0.004475032135627523
2020-11-30,0.01828874340203594,437,219,218,1.0,1.6383896778517868,0.001638389677851787,0.0,0.001638389677851787,0.016650353724184153
2020-12-31,-0.1261933542499899,445,223,222,1.0,1.693814891124308,0.0016938148911243081,0.0,0.0016938148911243081,-0.1278871691411142
2021-01-29,0.08730098826463392,461,231,230,1.0,1.7522868435911914,0.0017522868435911913,0.0,0.0017522868435911913,0.08554870142104273
2021-02-26,0.016049307364299503,473,237,236,1.0,1.3070692984338126,0.0013070692984338127,0.0,0.0013070692984338127,0.01474223806586569
2021-03-31,0.010884553501037345,481,241,240,1.0,1.94600622406639,0.0019460062240663901,0.0,0.0019460062240663901,0.008938547276970955
2021-04-30,0.01686400728667143,485,243,242,1.0,1.6903037105057308,0.0016903037105057308,0.0,0.0016903037105057308,0.015173703576165699
2021-05-28,-0.034206939679774354,491,246,245,1.0,1.6408661025385767,0.0016408661025385767,0.0,0.0016408661025385767,-0.03584780578231293
2021-06-30,0.03358096998393574,499,250,249,1.0,1.7671164658634537,0.0017671164658634537,0.0,0.0017671164658634537,0.03181385351807229
2021-07-30,-0.012732627987757482,497,249,248,1.0,1.8676305220883533,0.0018676305220883534,0.0,0.0018676305220883534,-0.014600258509845835
2021-08-31,0.0032498798672224794,509,255,254,1.0,1.348093253049251,0.0013480932530492511,0.0,0.0013480932530492511,0.0019017866141732283
2021-09-30,-0.0016126319753509057,507,254,253,1.0,1.5436158715454684,0.0015436158715454685,0.0,0.0015436158715454685,-0.0031562478468963743
2021-10-29,-0.008325297745870002,509,255,254,1.0,1.8822139879573876,0.0018822139879573875,0.0,0.0018822139879573875,-0.01020751173382739
